date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:06	59843/59843	---M-Z	200	added ('OK')	text/html	etag:%221e5b51-e9c3-591a651b57b40-gzip%22	https://wrraptheme.com/templates/compass/html/ec-product.html	wrraptheme.com/templates/compass/html/ec-product.html	(from )
00:51:08	1398/1398	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%221aa3d9-11f8-5827c2c756540-gzip%22	https://wrraptheme.com/robots.txt		(from )
00:51:09	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%221e5b3b-47e-560b552cbfa80%22	https://wrraptheme.com/templates/compass/html/favicon.ico	wrraptheme.com/templates/compass/html/favicon.ico	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:13	3616/3616	---M--	200	added ('OK')	text/css	etag:%2220547f-e20-591a650844e40%22	https://wrraptheme.com/templates/compass/html/assets/css/ecommerce.css	wrraptheme.com/templates/compass/html/assets/css/ecommerce.css	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:14	8816/8816	---M--	200	added ('OK')	text/css	etag:%22205481-2270-591a650750c00%22	https://wrraptheme.com/templates/compass/html/assets/css/color_skins.css	wrraptheme.com/templates/compass/html/assets/css/color_skins.css	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:15	155758/155758	---M--	200	added ('OK')	text/css	etag:%2222663f-2606e-591a64e6e3f80%22	https://wrraptheme.com/templates/compass/html/assets/plugins/bootstrap/css/bootstrap.min.css	wrraptheme.com/templates/compass/html/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:15	3179/3179	---M--	200	added ('OK')	image/svg+xml	etag:%222054c9-c6b-560b90c3b9180%22	https://wrraptheme.com/templates/compass/html/assets/images/logo.svg	wrraptheme.com/templates/compass/html/assets/images/logo.svg	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:16	351302/351302	---M--	200	added ('OK')	text/css	etag:%2220547a-55c46-5a440dccf7940%22	https://wrraptheme.com/templates/compass/html/assets/css/main.css	wrraptheme.com/templates/compass/html/assets/css/main.css	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:16	90795/90795	---M-Z	200	added ('OK')	text/html	etag:%221e5b46-162ab-591a6529a5d00-gzip%22	https://wrraptheme.com/templates/compass/html/index.html	wrraptheme.com/templates/compass/html/index.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:17	5844/5844	---M-Z	200	added ('OK')	text/html	etag:%221e5b37-16d4-591a6539dc340-gzip%22	https://wrraptheme.com/templates/compass/html/sign-in.html	wrraptheme.com/templates/compass/html/sign-in.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:18	77258/77258	---M-Z	200	added ('OK')	text/html	etag:%221e5b32-12dca-591a6536ffc80-gzip%22	https://wrraptheme.com/templates/compass/html/profile.html	wrraptheme.com/templates/compass/html/profile.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:20	26253/26253	---M--	200	added ('OK')	image/jpeg	etag:%22205499-668d-56192e06e5580%22	https://wrraptheme.com/templates/compass/html/assets/images/profile_av.jpg	wrraptheme.com/templates/compass/html/assets/images/profile_av.jpg	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:21	52094/52094	---M-Z	200	added ('OK')	text/html	etag:%221e5b4b-cb7e-591a651d3ffc0-gzip%22	https://wrraptheme.com/templates/compass/html/events.html	wrraptheme.com/templates/compass/html/events.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:21	62670/62670	---M-Z	200	added ('OK')	text/html	etag:%221e5b4d-f4ce-591a653052cc0-gzip%22	https://wrraptheme.com/templates/compass/html/mail-inbox.html	wrraptheme.com/templates/compass/html/mail-inbox.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:22	79711/79711	---M-Z	200	added ('OK')	text/html	etag:%221e5af7-1375f-591a651787240-gzip%22	https://wrraptheme.com/templates/compass/html/contact.html	wrraptheme.com/templates/compass/html/contact.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:23	54178/54178	---M-Z	200	added ('OK')	text/html	etag:%221e5af4-d3a2-591a65159edc0-gzip%22	https://wrraptheme.com/templates/compass/html/chat.html	wrraptheme.com/templates/compass/html/chat.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:24	61939/61939	---M-Z	200	added ('OK')	text/html	etag:%221e5b02-f1f3-591a65187b480-gzip%22	https://wrraptheme.com/templates/compass/html/dashboard-rtl.html	wrraptheme.com/templates/compass/html/dashboard-rtl.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
00:51:25	77570/77570	---M-Z	200	added ('OK')	text/html	etag:%221e5b39-12f02-591a652a99f40-gzip%22	https://wrraptheme.com/templates/compass/html/index2.html	wrraptheme.com/templates/compass/html/index2.html	(from https://wrraptheme.com/templates/compass/html/ec-product.html)
