date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:26	28110/28110	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-6dce%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html	(from )
01:53:27	94/94	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
01:53:28	12499/12499	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-30d3%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/index.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/index.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:29	38804/38804	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-9794%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-one.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-one.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:30	34354/34354	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-8632%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-two.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:31	28972/28972	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-712c%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-three.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-three.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:32	38411/38411	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-960b%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-four.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-four.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:33	36077/36077	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-8ced%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-five.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-five.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:34	30729/30729	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-7809%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-six.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-six.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:35	50796/50796	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-c66c%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-seven.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-seven.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:36	35976/35976	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-8c88%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-eight.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-eight.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:37	35499/35499	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-8aab%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-nine.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-nine.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:38	48753/48753	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-be71%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-ten.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/dashboard-ten.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:39	34065/34065	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-8511%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-mail.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-mail.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:40	32735/32735	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-7fdf%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-chat.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-chat.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:41	22736/22736	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-58d0%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-calendar.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-calendar.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:42	26027/26027	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-65ab%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-contacts.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-contacts.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:43	33713/33713	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-83b1%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-kanban.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-kanban.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:44	44874/44874	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-af4a%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/app-tickets.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/app-tickets.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:45	25380/25380	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-6324%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-profile.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-profile.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:46	3636/3636	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-e34%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signin.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signin.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:47	4883/4883	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-1313%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signup.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-signup.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
01:53:48	2766/2766	---MCZ	200	added ('OK')	text/html	etag:W/%2261272a32-ace%22	https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-404.html	www.bootstrapdash.com/demo/azia/v1.0.0/template/page-404.html	(from https://www.bootstrapdash.com/demo/azia/v1.0.0/template/page-invoice.html)
